age,fare,embarked,sex,pclass,body,cabin,survived
29.0,211.3375,S,female,1.0,,B5,1
0.9167,151.55,S,male,1.0,,C22 C26,1
2.0,151.55,S,female,1.0,,C22 C26,0
30.0,151.55,S,male,1.0,135.0,C22 C26,0
25.0,151.55,S,female,1.0,,C22 C26,0
48.0,26.55,S,male,1.0,,E12,1
63.0,77.9583,S,female,1.0,,D7,1
39.0,0.0,S,male,1.0,,A36,0
53.0,51.4792,S,female,1.0,,C101,1
71.0,49.5042,C,male,1.0,22.0,,0
47.0,227.525,C,male,1.0,124.0,C62 C64,0
18.0,227.525,C,female,1.0,,C62 C64,1
24.0,69.3,C,female,1.0,,B35,1
26.0,78.85,S,female,1.0,,,1
80.0,30.0,S,male,1.0,,A23,1
,25.925,S,male,1.0,,,0
24.0,247.5208,C,male,1.0,,B58 B60,0
50.0,247.5208,C,female,1.0,,B58 B60,1
32.0,76.2917,C,female,1.0,,D15,1
36.0,75.2417,C,male,1.0,,C6,0
37.0,52.5542,S,male,1.0,,D35,1
47.0,52.5542,S,female,1.0,,D35,1
26.0,30.0,C,male,1.0,,C148,1
42.0,227.525,C,female,1.0,,,1
29.0,221.7792,S,female,1.0,,C97,1
25.0,26.0,C,male,1.0,148.0,,0
25.0,91.0792,C,male,1.0,,B49,1
19.0,91.0792,C,female,1.0,,B49,1
35.0,135.6333,S,female,1.0,,C99,1
28.0,26.55,S,male,1.0,,C52,1
45.0,35.5,S,male,1.0,,T,0
40.0,31.0,C,male,1.0,,A31,1
30.0,164.8667,S,female,1.0,,C7,1
58.0,26.55,S,female,1.0,,C103,1
42.0,26.55,S,male,1.0,,D22,0
45.0,262.375,C,female,1.0,,,1
22.0,55.0,S,female,1.0,,E33,1
,26.55,S,male,1.0,,,1
41.0,30.5,S,male,1.0,,A21,0
48.0,50.4958,C,male,1.0,208.0,B10,0
,39.6,C,male,1.0,,,0
44.0,27.7208,C,female,1.0,,B4,1
59.0,51.4792,S,female,1.0,,C101,1
60.0,76.2917,C,female,1.0,,D15,1
41.0,134.5,C,female,1.0,,E40,1
45.0,26.55,S,male,1.0,,B38,0
,31.0,S,male,1.0,,,0
42.0,26.2875,S,male,1.0,,E24,1
53.0,27.4458,C,female,1.0,,,1
36.0,512.3292,C,male,1.0,,B51 B53 B55,1
58.0,512.3292,C,female,1.0,,B51 B53 B55,1
33.0,5.0,S,male,1.0,,B51 B53 B55,0
28.0,47.1,S,male,1.0,,,0
17.0,47.1,S,male,1.0,,,0
11.0,120.0,S,male,1.0,,B96 B98,1
14.0,120.0,S,female,1.0,,B96 B98,1
